"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.610","57","12 years","Female","White","Protestant","Male","White","Protestant","12 years","50","Male","White","Protestant","13-15 years","34","Male","White","Protestant","13-15 years","51","Female","White","Protestant","16 or more","30",NA,NA,NA,NA,NA
"1985","1985.611","30","16 or more","Female","White","Protestant","Male","White","Protestant","16 or more","33","Female","White","Protestant","13-15 years","59","Female","White","Protestant","16 or more","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.612","38","12 years","Female","White","Catholic","Female","White","None","12 years","55","Female","White",NA,"12 years","28","Female","White",NA,"12 years","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.613","36","16 or more","Male","White","Protestant","Female","White","Other","16 or more","65","Female","White","Protestant","16 or more","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.614","30","10-11 years","Female","White","Catholic","Female","White","Catholic","12 years","30","Male","Black",NA,"10-11 years","32","Female","White",NA,"10-11 years","26","Female","White","Catholic","12 years","26",NA,NA,NA,NA,NA
"1985","1985.615","32","13-15 years","Female","Black","Protestant","Male","Black","Protestant","13-15 years","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.616","54","Less than 10","Female","Hispanic","Protestant","Female","Hispanic","Protestant","12 years","20","Male","Hispanic","Protestant","Less than 10","60","Female","Hispanic","Protestant","Less than 10","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.617","46","13-15 years","Male","White","Catholic","Female","White","Catholic","10-11 years","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.618","40","12 years","Male","White","Catholic","Female","White","Catholic","12 years","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.619","22","13-15 years","Male","White","Protestant","Female","White","Protestant","12 years","43","Male","White","Protestant","12 years","44","Female","White","Catholic","13-15 years","22","Male","White","Other","13-15 years","28",NA,NA,NA,NA,NA
"1985","1985.620","63","13-15 years","Female","White","Protestant","Male","White","Protestant","12 years","64","Female","White","Protestant","16 or more","68","Male","White","Protestant","Less than 10","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.621","72","13-15 years","Female","White","Catholic","Male","White","Catholic","16 or more","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
